Date/Time,Surface_10,Sub_Surface_2,Surface_11,Surface_13,Surface_14,Surface_2,Surface_20,Surface_22,Surface_5,Sub_Surface_1,Surface_1,Surface_15,Surface_21,Surface_9,Surface_12,Surface_18,Surface_24,Surface_6
 08/06  21:00:00,23.80051903,20.32398344,23.30048754,23.57198602,22.19201161,22.61780975,22.19201161,23.88609464,23.25701788,18.95222875,22.375,22.375,22.375,22.375,20.22590914,20.33730264,20.32419929,20.22956222
 08/06  22:00:00,23.30921788,19.99407759,22.81112774,22.81938674,21.65017915,22.19048867,21.65017915,23.38295786,22.77177276,18.66400873,22.375,22.375,22.375,22.375,19.09555977,19.19233666,19.16684652,19.11463367
 08/06  23:00:00,22.76199747,19.6928313,22.2130991,22.12279847,21.16994995,21.68373658,21.16994995,22.82282534,22.17959185,18.53130923,22.375,22.375,22.375,22.375,18.28108781,18.36160151,18.32948308,18.30893798
 08/06  24:00:00,22.4368361,19.62166265,21.89570077,21.75504955,20.93059627,21.41609463,20.93059627,22.49128941,21.86527299,18.57061615,22.375,22.375,22.375,22.375,17.9584361,18.02657919,17.9931038,17.98887183
 08/07  01:00:00,22.47307224,19.93199625,21.95920064,21.79723368,20.98393728,21.50291376,20.98393728,22.52350819,21.93011784,18.95456665,22.375,22.375,22.375,22.375,17.84197172,17.90668247,17.86890249,17.87739228
 08/07  02:00:00,22.00035295,18.84710479,21.49565888,21.33127266,20.52729376,21.06690586,20.52729376,22.04455894,21.46869018,17.88060218,22.375,22.375,22.375,22.375,16.89048243,16.95555562,16.91116486,16.93306288
 08/07  03:00:00,21.17998935,17.53081376,20.67789256,20.47440487,19.65701135,20.22316998,19.65701136,21.22184793,20.65141125,16.05498511,22.375,22.375,22.375,22.375,15.46839731,15.53515006,15.48525115,15.51682297
 08/07  04:00:00,20.7319381,17.48217077,20.24471786,20.05465175,19.25266146,19.81909984,19.25266146,20.76963911,20.21987334,15.99286237,22.375,22.375,22.375,22.375,14.93805704,15.0029265,14.95084531,14.98902064
 08/07  05:00:00,13.1872981,13.03342913,13.17265646,13.16849608,13.14376633,13.16164824,13.14376633,13.18819197,13.17198541,13.00129963,22.375,22.375,22.375,22.375,12.98705882,12.98861256,12.98728807,12.98836324
 08/07  06:00:00,14.64803479,14.61919497,13.68353691,13.66133223,13.84115609,13.64410227,13.84115609,14.67361307,13.68142359,13.5616539,22.375,22.375,22.375,22.375,13.43349399,13.43804122,13.43400987,13.43748019
 08/07  07:00:00,32.46029879,26.46939964,18.73366366,18.46455875,20.37046131,18.34000764,20.37046131,32.85687776,18.71435483,19.98041264,22.375,22.375,22.375,22.375,20.28092307,20.30239481,20.2838323,20.29923146
 08/07  08:00:00,41.40780346,28.482489,22.74161848,21.90054177,22.71503721,21.74880353,22.71503721,41.9752418,22.68149098,26.29127406,22.375,22.375,22.375,22.375,28.9321698,28.94647302,28.93460932,28.94382011
 08/07  09:00:00,47.03498662,29.19629913,28.32227211,24.63882208,24.92173792,24.47679133,24.92173792,47.69633038,28.02397375,34.28690263,22.375,22.375,22.375,22.375,38.86833447,38.88642229,38.87015949,38.88443766
 08/07  10:00:00,48.04184092,27.33103672,33.98494595,26.6750131,26.82962332,26.50927558,26.82962332,48.71479427,33.5211459,37.93728711,22.375,22.375,22.375,22.375,47.20766604,47.22567288,47.20899469,47.22422804
 08/07  11:00:00,44.93445111,27.57221541,38.54454078,28.66151494,28.7602513,28.50748889,28.7602513,45.81838808,38.12415495,38.38312549,22.375,22.375,22.375,22.375,52.47879168,52.49595052,52.47969508,52.49496809
 08/07  12:00:00,39.39219751,29.51595135,41.26645676,30.4476227,30.43722813,30.3101122,30.43722813,40.55813315,41.0150506,36.9441451,22.375,22.375,22.375,22.375,54.83754743,54.85294465,54.83813353,54.85230726
 08/07  13:00:00,35.97594485,30.08411568,42.12820812,33.28183818,31.36530972,33.15731212,31.36530972,36.37713009,41.95883689,36.62068731,22.375,22.375,22.375,22.375,54.69035686,54.7067678,54.69074253,54.70634838
